"count","url_host_registered_domain"
"6602550","blogg.no"
"3432421","nrk.no"
"3070572","aftenposten.no"
"2994474","blogspot.no"
"2479118","zoover.no"
"2420185","tanum.no"
"2399373","platekompaniet.no"
"2336751","anbudstorget.no"
"2201803","uio.no"
"2016834","snl.no"
"2016176","fruugo.no"
"1910397","kayak.no"
"1885893","uib.no"
"1814155","dagbladet.no"
"1784126","airbnb.no"
"1725839","urlm.no"
"1555706","arkivverket.no"
"1518146","multicom.no"
"1493272","io.no"
"1468842","digitalarkivet.no"
"1345167","haugenbok.no"
"1321696","mtv.no"
"1222807","klikk.no"
"1185233","wimdu.no"
"1093799","fvn.no"
"1086272","aftenbladet.no"
"1076494","bt.no"
"1044781","nettavisen.no"
"1031868","dustin.no"
"990433","linux.no"
"940584","skruvat.no"
"929698","ps.no"
"913473","slideplayer.no"
"873987","regjeringen.no"
"811236","dinside.no"
"777172","hobbyklubben.no"
"743511","bestselgerklubben.no"
"738850","philips.no"
"732612","junkyard.no"
"713940","dustinhome.no"
"697600","digi.no"
"684318","99designs.no"
"676472","kursagenten.no"
"674138","avforum.no"
"620412","jetcost.no"
"614572","bibsys.no"
"557203","skiinfo.no"
"541964","tek.no"
"534238","prisguide.no"
"518886","cappelendamm.no"
"503688","jobbsafari.no"
"502334","tu.no"
"497551","1881.no"
"497363","stortinget.no"
"475810","ibok.no"
"470162","grida.no"
"467928","tvtrip.no"
"464681","bygg.no"
"461506","uit.no"
"456507","sukker.no"
"436613","universalmusic.no"
"425672","supersaver.no"
"415705","spreadshirt.no"
"409513","medietilsynet.no"
"404553","cristin.no"
"401944","matprat.no"
"391665","chinesecrested.no"
"379600","ndla.no"
"376317","tv2.no"
"373065","intersport.no"
"363303","gear4music.no"
"357679","uis.no"
"350967","digitaltmuseum.no"
"349711","yr.no"
"347694","poki.no"
"345311","jollyroom.no"
"344864","vg.no"
"339952","ntnu.no"
"336771","sparebank1.no"
"336605","gettyimages.no"
"332996","synonymer.no"
"330178","prisguiden.no"
"319235","disnorge.no"
"301772","gulindex.no"
"292001","atea.no"
"286319","footway.no"
"283850","freelancer.no"
"275167","matoppskrift.no"
"267212","edel-optics.no"
"267066","seher.no"
"266045","brandos.no"
"263857","addnature.no"
"263264","dalane-tidende.no"
"262361","visitnorway.no"
"262005","felleskjopet.no"
"258973","blivakker.no"
"257982","groruddalen.no"
"256975","bad.no"
"248395","abcnyheter.no"
"247674","saltenposten.no"
"247616","lavkarbo.no"
"235752","kirken.no"
"234745","foreldreportalen.no"
"226325","gamer.no"
"223742","legelisten.no"
"219300","bravofly.no"
"219189","nab.no"
"217200","document.no"
"216431","solabladet.no"
"209194","hegnar.no"
"205615","thonhotels.no"
"202353","hioa.no"
"200600","bauhaus.no"
"200031","maxbo.no"
"194128","fineart.no"
"193304","aperitif.no"
"192447","svalbardposten.no"
"191333","ez.no"
"190149","filmfront.no"
"188437","regnskapstall.no"
"187328","sintef.no"
"185594","origo.no"
"185529","jula.no"
"174469","ssb.no"
"171875","naf.no"
"166725","scientologi.no"
"166518","hoyre.no"
"166312","imr.no"
"162060","nho.no"
"161157","mascus.no"
"158366","cw.no"
"157494","gulesider.no"
"157328","ebok.no"
"156420","montages.no"
"155182","bakerenogkokken.no"
